資產:非流動資產:不動產、廠房及設備:累計減損—生產性植物,累計減損—生產性植物,1468,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:礦產資源淨額:,礦產資源淨額,147,指蘊藏量將隨開採或其他使用方法而耗竭之天然礦產。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:礦產資源淨額:礦產資源—成本,礦產資源—成本,1471,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:礦產資源淨額:礦產資源—重估增值,礦產資源—重估增值,1472,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:礦產資源淨額:累計折耗—礦產資源,累計折耗—礦產資源,1473,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:礦產資源淨額:累計減損—礦產資源,累計減損—礦產資源,1474,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:,生物資產—非流動,148,生物資產，指與農業活動有關且具生命之動物或植物。生物資產應依流動性區分為流動與非流動，並以公允價值減出售成本衡量。但取得公允價值需耗費過當之成本或努力者，得以其成本減累計折舊及累計減損後之帳面金額列示。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:生物資產—非流動:生產性生物資產—非流動,生產性生物資產—非流動,1481,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:累計折舊—生產性生物資產—非流動,累計折舊—生產性生物資產—非流動,1482,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:累計減損—生產性生物資產—非流動,累計減損—生產性生物資產—非流動,1483,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:生產性生物資產公允價值減出售成本累計變動數—非流動,生產性生物資產公允價值減出售成本累計變動數—非流動,1484,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:消耗性生物資產—非流動,消耗性生物資產—非流動,1485,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:累計折舊—消耗性生物資產—非流動,累計折舊—消耗性生物資產—非流動,1486,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:累計減損—消耗性生物資產—非流動,累計減損—消耗性生物資產—非流動,1487,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:生物資產—非流動:消耗性生物資產公允價值減出售成本累計變動數—非流動,消耗性生物資產公允價值減出售成本累計變動數—非流動,1488,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:,無形資產,149-155,指無實體形式之可辨認非貨幣性資產及商譽。,,,TWD,CURRENCY,F,F,T
資產:非流動資產:無形資產:商標權—成本,商標權—成本,1491,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:商標權—重估增值,商標權—重估增值,1492,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—商標權,累計攤銷—商標權,1493,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—商標權,累計減損—商標權,1494,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:專利權—成本,專利權—成本,1501,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:專利權—重估增值,專利權—重估增值,1502,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—專利權,累計攤銷—專利權,1503,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—專利權,累計減損—專利權,1504,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:特許權—成本,特許權—成本,1511,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:特許權—重估增值,特許權—重估增值,1512,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—特許權,累計攤銷—特許權,1513,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—特許權,累計減損—特許權,1514,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:著作權—成本,著作權—成本,1521,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:著作權—重估增值,著作權—重估增值,1522,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計攤銷—著作權,累計攤銷—著作權,1523,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:累計減損—著作權,累計減損—著作權,1524,,,,TWD,CURRENCY,F,F,F
資產:非流動資產:無形資產:電腦軟體—成本,電腦軟體—成本,1531,,,,TWD,CURRENCY,F,F,F
